City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
168,Magole,61,TZ,2021-03-19 22:50:13,97,-6.3667,37.3667,70.77,1.95
169,Guerrero Negro,4,MX,2021-03-19 22:53:00,46,27.9769,-114.0611,69.62,16.04
170,Kargil,0,IN,2021-03-19 22:53:00,71,34.5667,76.1,12.67,2.1
171,Zhangzhou,90,CN,2021-03-19 22:53:00,100,24.5133,117.6556,64.4,2.24
172,Lusambo,64,CD,2021-03-19 22:53:00,87,-4.9667,23.45,72.36,1.05
173,Iralaya,20,HN,2021-03-19 22:53:01,79,15.0,-83.2333,84.2,11.5
174,Hamilton,20,US,2021-03-19 22:48:35,34,39.1834,-84.5333,48.99,19.57
175,Samarai,66,PG,2021-03-19 22:50:40,73,-10.6167,150.6667,83.93,9.42
176,San Miguel,79,SV,2021-03-19 22:53:01,100,13.4833,-88.1833,87.8,5.75
177,Longyearbyen,75,SJ,2021-03-19 22:51:12,80,78.2186,15.6401,26.6,19.57
178,Jalu,0,LY,2021-03-19 22:53:02,19,29.0331,21.5482,72.1,10.49
179,Waddan,0,LY,2021-03-19 22:53:02,26,29.1614,16.139,66.92,6.38
180,Chokurdakh,100,RU,2021-03-19 22:47:08,91,70.6333,147.9167,-13.47,11.1
181,Port Hardy,40,CA,2021-03-19 22:51:30,71,50.6996,-127.4199,50.0,17.27
182,Riyadh,0,SA,2021-03-19 22:50:29,28,24.6877,46.7219,68.0,3.44
183,Petropavlovsk-Kamchatskiy,90,RU,2021-03-19 22:51:54,93,53.0452,158.6483,33.8,2.24
184,Mrakovo,99,RU,2021-03-19 22:53:02,95,52.7161,56.6244,25.79,3.87
185,Rawson,8,AR,2021-03-19 22:50:48,22,-43.3002,-65.1023,74.12,7.2
186,Khash,47,IR,2021-03-19 22:53:03,39,28.2211,61.2158,60.58,5.44
187,Sao Filipe,13,CV,2021-03-19 22:51:38,77,14.8961,-24.4956,71.2,4.74
188,Anadyr,0,RU,2021-03-19 22:53:03,70,64.75,177.4833,-14.8,6.71
189,Tutoia,95,BR,2021-03-19 22:53:03,86,-2.7619,-42.2744,78.55,7.05
190,Dikson,3,RU,2021-03-19 22:51:06,85,73.5069,80.5464,-28.48,8.86
191,Svilengrad,87,BG,2021-03-19 22:53:04,94,41.7667,26.2,39.99,2.08
192,Atuona,25,PF,2021-03-19 22:47:48,75,-9.8,-139.0333,80.1,12.39
193,Chuy,0,UY,2021-03-19 22:51:08,81,-33.6971,-53.4616,63.27,7.38
194,Yulara,100,AU,2021-03-19 22:53:04,43,-25.2406,130.9889,71.6,9.22
195,Saint-Pierre,0,RE,2021-03-19 22:46:43,78,-21.3393,55.4781,77.0,3.44
196,Bonthe,0,SL,2021-03-19 22:53:05,76,7.5264,-12.505,77.77,7.23
197,Santa Rosa,20,PH,2021-03-19 22:53:05,78,14.3122,121.1114,82.0,1.14
198,Deputatskiy,100,RU,2021-03-19 22:53:05,97,69.3,139.9,-4.43,2.39
199,Yerbogachen,100,RU,2021-03-19 22:51:43,92,61.2767,108.0108,18.19,15.28
200,Torbay,90,CA,2021-03-19 22:50:57,100,47.6666,-52.7314,44.01,47.18
201,Nuuk,75,GL,2021-03-19 22:53:06,63,64.1835,-51.7216,26.6,16.11
202,Lodwar,26,KE,2021-03-19 22:53:06,42,3.1191,35.5973,85.53,10.85
203,Bela,100,IN,2021-03-19 22:53:06,40,25.9333,81.9833,73.62,6.82
204,Am Timan,27,TD,2021-03-19 22:53:06,32,11.0297,20.2827,80.08,6.24
205,Qui Nhon,50,VN,2021-03-19 22:53:07,90,13.7667,109.2333,74.41,4.83
206,Tygda,98,RU,2021-03-19 22:53:07,92,53.1167,126.3333,14.49,1.45
207,Atbasar,100,KZ,2021-03-19 22:53:07,98,51.8,68.3333,33.58,13.71
208,Takoradi,100,GH,2021-03-19 22:51:53,80,4.8845,-1.7554,80.13,4.76
209,Mindelo,40,CV,2021-03-19 22:53:08,73,16.8901,-24.9804,69.8,16.11
210,Oussouye,40,SN,2021-03-19 22:53:08,94,12.485,-16.5469,71.6,6.91
211,Tabou,34,CI,2021-03-19 22:53:08,82,4.423,-7.3528,79.18,6.24
212,Vostok,67,RU,2021-03-19 22:51:33,89,46.4856,135.8833,20.12,2.26
213,Kabare,83,CD,2021-03-19 22:53:09,94,-2.4683,28.8242,60.87,1.12
214,Fallon,75,US,2021-03-19 22:51:15,22,39.4735,-118.7774,64.4,17.27
215,Novichikha,6,RU,2021-03-19 22:51:07,80,52.204,81.3877,16.68,9.95
216,Sakakah,0,SA,2021-03-19 22:53:09,31,29.9697,40.2064,60.8,4.61
217,Paamiut,100,GL,2021-03-19 22:51:59,62,61.994,-49.6678,33.24,28.01
218,Kulu,91,TR,2021-03-19 22:53:10,83,39.0951,33.0799,42.67,7.76
219,Astoria,90,US,2021-03-19 22:53:10,66,46.1879,-123.8313,50.0,21.85
220,Labuhan,94,ID,2021-03-19 22:51:07,85,-6.8844,112.2051,77.61,9.84
221,Port Blair,37,IN,2021-03-19 22:51:43,75,11.6667,92.75,78.44,3.42
222,Ballina,90,AU,2021-03-19 22:51:41,88,-28.8667,153.5667,73.4,6.91
223,Kimberley,72,ZA,2021-03-19 22:49:01,82,-28.7323,24.7623,64.4,5.75
224,Winnemucca,90,US,2021-03-19 22:53:11,44,40.973,-117.7357,55.4,13.8
225,Kasongo-Lunda,35,CD,2021-03-19 22:53:11,97,-6.4667,16.8167,70.09,1.28
226,Xining,99,CN,2021-03-19 22:52:33,80,36.6167,101.7667,21.31,1.05
227,Ewa Beach,40,US,2021-03-19 22:53:11,50,21.3156,-158.0072,80.6,12.66
228,Bandarbeyla,1,SO,2021-03-19 22:53:11,78,9.4942,50.8122,76.51,10.02
229,Provideniya,95,RU,2021-03-19 22:51:18,90,64.3833,-173.3,-4.92,17.52
230,Jumla,55,NP,2021-03-19 22:53:12,51,29.2747,82.1838,41.0,4.09
231,Wadi Maliz,40,TN,2021-03-19 22:53:12,93,36.4681,8.5495,48.2,5.75
232,Ayan,12,RU,2021-03-19 22:53:12,70,56.45,138.1667,13.32,4.79
233,Algiers,75,DZ,2021-03-19 22:50:04,93,36.7525,3.042,50.0,6.91
234,Ostrovnoy,100,RU,2021-03-19 22:52:01,80,68.0531,39.5131,14.81,33.31
235,Sayyan,0,YE,2021-03-19 22:53:13,16,15.1718,44.3244,54.36,1.83
236,Ancud,40,CL,2021-03-19 22:51:36,71,-41.8697,-73.8203,57.0,8.05
237,Doka,13,SD,2021-03-19 22:53:13,35,13.5167,35.7667,80.55,13.94
238,Tessalit,0,ML,2021-03-19 22:53:13,11,20.1986,1.0114,67.86,4.03
239,Yumen,90,CN,2021-03-19 22:51:02,35,40.2833,97.2,22.87,7.81
240,Haines Junction,100,CA,2021-03-19 22:47:39,41,60.7522,-137.5108,14.0,17.27
241,Quatre Cocos,75,MU,2021-03-19 22:52:05,78,-20.2078,57.7625,78.8,10.36
242,Bilibino,70,RU,2021-03-19 22:53:14,61,68.0546,166.4372,-11.54,0.81
243,Parambu,100,BR,2021-03-19 22:53:14,80,-6.2111,-40.6944,72.46,2.35
244,Tuktoyaktuk,75,CA,2021-03-19 22:46:15,77,69.4541,-133.0374,-11.2,12.66
245,Kamien Pomorski,0,PL,2021-03-19 22:53:15,86,53.9685,14.7726,28.0,1.14
246,Flin Flon,75,CA,2021-03-19 22:53:15,43,54.7682,-101.865,51.8,8.05
247,Upernavik,100,GL,2021-03-19 22:51:37,88,72.7868,-56.1549,8.11,4.56
248,Alghero,20,IT,2021-03-19 22:53:15,87,40.5589,8.3181,42.8,6.91
249,Poum,100,NC,2021-03-19 22:53:16,77,-20.2333,164.0167,79.86,18.68
250,Dawlatabad,74,AF,2021-03-19 22:53:16,77,36.4141,64.9053,56.17,2.37
251,Namibe,82,AO,2021-03-19 22:52:14,70,-15.1961,12.1522,73.9,4.16
252,Vohma,0,EE,2021-03-19 22:53:16,86,58.6283,25.5483,15.01,1.41
253,Agadir,0,MA,2021-03-19 22:53:17,48,30.4202,-9.5982,62.6,8.05
254,Kodinsk,100,RU,2021-03-19 22:53:17,91,58.6881,99.1844,21.49,11.97
255,Pacific Grove,90,US,2021-03-19 22:53:17,82,36.6177,-121.9166,57.2,4.61
256,Balsas,100,BR,2021-03-19 22:53:17,93,-7.5325,-46.0356,73.51,4.72
257,Amol,8,IR,2021-03-19 22:53:18,91,36.4696,52.3507,48.4,5.17
258,Harer,56,ET,2021-03-19 22:53:18,70,9.3094,42.1258,62.15,2.26
259,Japura,89,ID,2021-03-19 22:53:18,98,-0.3167,102.35,73.89,1.68
260,Bo Phloi,21,TH,2021-03-19 22:53:19,60,14.3236,99.5161,84.0,3.6
261,Naze,75,JP,2021-03-19 22:51:05,83,28.3667,129.4833,71.6,16.11
262,Mahuva,0,IN,2021-03-19 22:53:19,69,21.0914,71.7622,69.96,6.91
263,San Patricio,1,US,2021-03-19 22:51:37,18,28.017,-97.5169,77.0,10.36
264,Puerto Gaitan,83,CO,2021-03-19 22:53:19,49,4.3133,-72.0816,88.34,10.36
265,Gat,4,IL,2021-03-19 22:53:19,74,31.61,34.7642,55.99,5.44
266,Talcahuano,40,CL,2021-03-19 22:53:20,77,-36.7167,-73.1167,62.6,10.36
267,Richards Bay,0,ZA,2021-03-19 22:53:20,91,-28.783,32.0377,71.8,3.11
268,Hobyo,48,SO,2021-03-19 22:53:20,80,5.3505,48.5268,80.62,12.28
269,Olinda,20,BR,2021-03-19 22:51:19,65,-8.0089,-34.8553,80.6,6.91
