City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,Ca Mau,VN,9.1769,105.15,83.7,64,100,5.79,overcast clouds
183,Miyako,JP,39.6367,141.9525,52.3,96,100,10.8,overcast clouds
184,Macapa,BR,0.0389,-51.0664,80.6,83,40,4.61,scattered clouds
185,Tazmalt,DZ,36.3868,4.3989,46.94,93,100,7.2,overcast clouds
186,Faanui,PF,-16.4833,-151.75,83.14,67,0,5.68,clear sky
187,Nyurba,RU,63.2842,118.3319,-19.21,87,100,12.26,overcast clouds
188,Vanavara,RU,60.34,102.2797,-19.41,81,100,7.16,overcast clouds
189,Porto Novo,BJ,6.4965,2.6036,82.4,78,20,6.91,few clouds
190,Praia Da Vitoria,PT,38.7333,-27.0667,59.0,72,40,9.69,scattered clouds
191,Khandyga,RU,62.6667,135.6,20.12,88,100,8.59,overcast clouds
192,Changping,CN,40.2186,116.2197,42.8,21,0,17.9,clear sky
193,Isangel,VU,-19.55,169.2667,84.2,70,75,11.5,broken clouds
194,Raichur,IN,16.2,77.3667,66.56,45,38,3.49,scattered clouds
195,Lock Haven,US,41.137,-77.4469,42.01,52,0,0.51,clear sky
196,Sitka,US,57.0531,-135.33,35.6,75,90,16.11,light snow
197,Cururupu,BR,-1.8283,-44.8683,73.11,92,2,2.21,clear sky
198,Dourdan,FR,48.5277,2.0111,37.0,90,16,6.82,few clouds
199,Hamilton,US,39.1834,-84.5333,53.6,28,1,6.91,clear sky
200,Opuwo,NA,-18.0607,13.84,67.8,85,99,1.52,moderate rain
201,Saint George,US,37.1041,-113.5841,68.0,13,1,20.71,clear sky
202,Baykit,RU,61.67,96.37,-12.41,94,100,8.77,light snow
203,Lebu,CL,-37.6167,-73.65,55.51,83,0,7.83,clear sky
204,Severo-Kurilsk,RU,50.6789,156.125,25.02,79,86,21.18,overcast clouds
205,Tuatapere,NZ,-46.1333,167.6833,57.0,91,100,8.01,overcast clouds
206,Mizan Teferi,ET,6.9833,35.5833,63.1,84,1,2.91,clear sky
207,Launceston,AU,-41.45,147.1667,71.01,49,60,10.36,broken clouds
208,Maniitsoq,GL,65.4167,-52.9,24.13,80,93,8.46,overcast clouds
209,Longonjo,AO,-12.9067,15.2533,63.09,91,97,1.57,overcast clouds
210,Hualmay,PE,-11.0964,-77.6139,71.83,75,95,6.85,overcast clouds
211,Talnakh,RU,69.4865,88.3972,-22.67,62,6,7.87,clear sky
212,Kutahya,TR,39.4242,29.9833,39.2,93,75,3.44,broken clouds
